Product,Category,Target user,Core value proposition,Business model,Pricing,Platforms,Capture methods,Auto HSA-eligibility detection,Eligible-expense database,Investment/shoebox framing,Reimbursement workflow,Bank sync (Plaid etc),Custodian API integration,Retailer/Amazon integration,Email-forward capture,Accounting integration,Export/audit-readiness,Security/compliance,Traction signals,Strengths,Weaknesses,Source URLs
Reclaim (this app),Direct (subject),B2C (B2B2C upside noted),Turn medical spend into IRS-defensible HSA reimbursement records; AI Pub 502 classify + user-confirmed timestamped Medical Expense Record; closed-loop deposit matching,Consumer SaaS subscription (Stripe) 3 tiers,"Free / Plus $9.99/mo / Premium $19.99/mo per docs (CODE CONFLICT: Pricing.tsx shows $19/$49/mo)",Web SPA + PWA (no native; no extension),"OCR (Vertex AI Gemini), manual entry, CSV bulk import, Plaid MCC auto-capture",Yes - AI + ~80-rule Pub 502 catalog with reasoning,Yes - pub_502_rules table (~80 rules with section refs),Yes - first-class (reimbursement_strategy_preference; 'Available to Reclaim'),Full: lifecycle state machine + Medical Expense Records + closed-loop deposit match (UNIQUE),Yes (Plaid + 18mo historical + MCC),No (curated dropdown + manual PDF instructions only),No (PLANNED),No (PLANNED),No,Yes - PDF/CSV substantiation + tax package; contemporaneous timestamps citing IRC 213(d)/Pub 969,AES-256-GCM Plaid tokens; RLS+JWT; whitelist CORS; PHI redaction; BAA-eligible Vertex; HIPAA/retention docs (no audit evidenced),Pre/soft-launch; no public traction,"Unique audit-defensibility record + closed-loop reimbursement; full-funnel capture (Plaid+OCR+manual); rule-grounded eligibility",No native app; no email/retailer capture (shipped by Shoebox); custodian API absent; monthly pricing above market; rebrand ~85-90%,Repository source code (this codebase)
Shoebox,Direct,B2C,HSA receipt storage for retirement; maximize triple-tax advantage via shoebox strategy,Freemium subscription (annual),"Free + Plus $60/yr early-adopter (50% off indefinitely) or $120/yr; 30-day trial",Web + email + Chrome extension (native iOS/Android Not found),"Email-forward (AI extract), Chrome ext Amazon scan + real-time HSA notifications, mobile, desktop; multi-email household",Partial - 'AI-assisted categorization' (no detail),Unknown,Yes - retirement/triple-tax framing,Supports delayed + immediate/partial reimbursement,No (not mentioned),No,Yes (Amazon via Chrome extension),Yes,No,Yes - 'full library export' + 'IRS audit protection',Not found (claims audit protection),Funding/users Not found (public 'Shoebox' records are an unrelated 2012 photo app),Broadest capture surface in niche; retirement framing; name aligns with strategy,No Plaid/bank sync; eligibility opaque; native app Not found; traction Not found,https://www.shoebox.io/
Reimbursable,Direct,B2C,Effortless HSA reimbursement tracking; auto-find reimbursable medical txns and fill Form 8889,Freemium DIY + assisted monthly,"DIY $19/yr; Full Service $29/mo",Web (native app Not found),"Plaid bank/credit/checking auto-detection, manual, receipt storage",Yes - via bank transactions,Yes - HSA/FSA eligible-items directory,Yes,Full: records + distribution tracking + Form 8889,Yes (Plaid),No,No,Unknown,No,Yes - Form 8889 + tax reports,Not found,Not found (SEO content engine),Plaid auto-detect + Form 8889; cheap DIY; assisted tier; owns HSA SEO,No closed-loop deposit match; web-only; OCR depth unclear,https://reimbursable.com/hsa-reimbursement-tracker
HSA Store ExpenseTracker,Direct,B2C (retail-attached),Track HSA-eligible expenses; scan receipts/barcodes; reports for reimbursement & taxes,Free (retail lead-gen),Free,iOS + Android,"Photo receipt scan, barcode eligibility scan, auto-detect from shopping history, manual",Yes - barcode + shopping history,Yes - barcode eligibility database,Partial,Yes - report generation + plan-year tracking,"Partial (shopping history, not Plaid)",No,Yes (auto-files HSA Store purchases),No,No,Yes - reimbursement/tax reports,Not found,Parent Health-E Commerce (HSA Store/FSA Store); ~38M HSA Americans cited; updates Nov 2025,Free; native mobile; barcode eligibility DB; retail distribution + trusted brand,Lead-gen funnel for retail store; no Plaid; tied to own ecosystem,https://www.prnewswire.com/news-releases/still-saving-paper-receipts-in-a-shoebox-simplify-your-tax-free-health-savings-account-hsa-funds-with-the-hsa-expensetracker-app-from-hsa-store-302602816.html
TrackHSA,Direct,B2C,Online HSA record-keeping; log purchases + receipts + audit docs,Subscription,$2/mo after 30-day trial,Web only,"Manual entry, receipt upload (img/PDF/Word)",No - manual category dropdown,Partial - category list,No,Yes - unreimbursed tracking + audit documentation,No,No,No,No,No,Yes - Overview/Receipts/Audit Trail tabs + reports,SSL; Google-managed servers; Stripe payments,Long-running (established),Cheapest paid; simple; explicit audit-trail framing,Fully manual; web-only; no OCR/AI/bank sync; dated UX,https://www.trackhsa.com/features
HSA Tracker Pro,Direct,B2C,Receipt tracking + deferral strategy with family mgmt and growth projections,Freemium (annual),Free / Basic $24/yr / Pro $36/yr,Web + native iPhone (no Android),"AI photo scan (Pro), web upload, PDF drag-drop, manual",Yes - AI flags eligibility (Pro),Partial,Yes - deferral/investment framing + growth projections,Yes - tracking + audit-ready exports,No,No,No,No,No,Yes - CSV + IRS-formatted reports,Encrypted in transit + at rest; 7+ yr storage,"Self-reported 4.9 stars, 2000+ users",Native iPhone; AI extract + eligibility flag; family; growth projections; cheap,No bank sync; no Android; no closed loop; traction self-reported,https://hsatrackerpro.com/
HSA Vault,Direct (my addition),B2C,AI receipt management + audit compliance for HSA,Freemium (annual),Free (25 AI scans/yr) / Pro $19/yr,Web + PWA (iPhone+Android),"AI photo/PDF extract (provider/amount/CPT/category), manual",Yes - AI + Eligibility Scanner + compliance quiz,Partial - scanner/quiz,Yes,Yes - documented expense tracking + audit report,No,No,No,No,No,Yes - audit-report export,AES-256 at rest; TLS 1.3 in transit; AWS,Launched 2024; ratings Not found,AI + CPT-code extraction; compliance-quiz hook; strong stated encryption; PWA like Reclaim,No bank sync; no closed loop; no independent ratings,https://hsavault.app/
Shoeboxed,Adjacent,B2C/SMB,General receipt scanning + mileage for business expensing (not HSA),Subscription,$9/mo ($97/yr) to $179/mo (Paper Plus),iOS + Android + web,"App scan, Magic Envelope mail-in (human verify), Gmail sync",No (not HSA),No,No,No (expense reporting only),No,No,No,Yes (Gmail),Yes (QuickBooks/Xero/Wave/Evernote/Dropbox),Yes - CSV export,Not found,Established SMB brand,Mature; accounting integrations; unique mail-in; native apps,No HSA features; priced for business; relevant mainly to naming,https://www.shoeboxed.com/pricing
Reclaim Health,Adjacent,B2B (self-insured employers 2000+),AI healthcare-claims error/overcharge recovery + benefits optimization,B2B SaaS (employer-paid),Not public,Web (employer/admin),n/a (claims data),Partial (analyzes HSA/FSA/HRA),n/a,No,n/a,Yes (claims data),Yes (WEX/Securian/Empyrean partners),No,No,Unknown,n/a,Not found,"1.75M+ families; 100+ self-funded employers; $6.3M back per 10k employees; 2026 AI Excellence Award",Real B2B traction; custodian/benefits partnerships; employer distribution,Not a consumer receipt tracker; HSA is one line item; 'Reclaim' name+sector collision,https://www.reclaimhealth.com/
Truemed,Adjacent,B2B2C,Make wellness purchases HSA/FSA-eligible via Letter of Medical Necessity at checkout,Merchant-side payment facilitation,Free to consumer (merchant-paid),Web / merchant checkout,n/a (point-of-sale),Yes - LMN eligibility,Yes - LMN-based,No,No (POS eligibility not receipt tracking),No,No,Yes (merchant checkout),No,No,Partial (LMN document),Not found,"1.5M+ users; brands Peloton/AG1/Garmin/Purple/ClassPass; 90% LMNs within 7 hrs",Large user base; marquee merchants; owns POS eligibility moment,Does not track receipts or generate reimbursement records; different job; possible partner,https://www.truemed.com/
Reclaim.ai,Naming-only collision,B2C/B2B,AI calendar/scheduling automation (focus time/meetings/tasks),Freemium SaaS,Free Lite + Starter/Business/Enterprise,Web + calendar integrations,n/a,No,No,No,No,No,No,No,No,No (Slack/Zoom/Asana/Jira),n/a,Not found,Not found,Established productivity brand,Unrelated category - same word only; no relationship to HSA/healthcare; excluded from feature comparison,https://reclaim.ai/
